content,like,rcount,sex,mid,diag,好,乐,哀,怒,惧,恶,惊,pos,neg
C罗口碑突然暴涨[doge],3069,63,保密,45371579,原评论,0,0,0,0,0,0,0,0,1
这下真是逆境之王了[doge],214,0,男,510806989,原评论,0,0,0,0,0,0,0,0,1
在这一楼下看似理中客的发言中，我没有看到理智，我看到的只是呦西结晶在逆风时仍不忘拉踩c罗，试图用拉饭吃屎不对，所以自己不吃屎只拉饭来显得自己正确。非常幽默,186,0,保密,438381507,原评论,3,0,0,0,0,0,0,2,3
篮球界，足球界，科学界都有属于自己的饮料了，其他的加把劲啊[doge],1669,42,保密,506683584,原评论,0,0,0,0,0,0,0,0,0
滑雪界已经有热带风味的了捏（,167,0,男,245820387,原评论,0,0,0,0,0,0,0,0,0
牢霍是什么饮品,64,0,保密,3546602555837171,原评论,0,0,0,0,0,0,0,0,0
孩子们，听我解释😭,2427,26,保密,503272480,原评论,0,0,0,0,0,0,0,0,0
老大对应牢大，球王可以对应囚王[脱单doge],266,0,保密,488779483,原评论,1,0,0,0,0,0,0,0,1
回复 @还说书吗 :你还别说，他要是明天真坠机了，就又成一个名梗了[大笑],131,0,保密,393921490,原评论,0,1,0,0,0,0,0,3,0
有一说一这波要是也坠个机的话就真成一段佳话了[笑哭][笑哭],110,0,保密,431434617,原评论,1,0,0,0,0,0,0,0,0
哟西，下次来还是场座爆满呢,510,3,保密,30116889,原评论,1,0,0,0,0,0,0,0,0
我一直队中文互联网抱有一丝信心，直到这次跟风不理智的人成为了大多数[大笑][大笑],22,49,保密,3493260389517752,原评论,2,2,0,0,0,0,0,4,0
我虽然也认同中文互联网环境已经很差了，但是你这样是否有点故作清高了，众人皆醉你独醒,9,0,保密,13300339,原评论,1,0,0,0,0,0,0,2,0
不会是梅西粉丝来团建了吧？那我只能说你们还挺抖m的，被人冷眼相待还能死心塌地，那我只能说呃呃,6,0,男,1067546566,原评论,1,0,0,0,0,0,0,0,1
众人皆醉你最清醒[大笑],6,0,保密,3493274580945351,原评论,0,1,0,0,0,0,0,1,0
C罗不愧是逆境之王，这都能绝境翻盘[妙啊],897,4,保密,2212664,原评论,1,0,0,0,0,0,0,0,1
哟西不愧是被逆转之王，这么大的优势都能被逆转,123,0,女,391701528,原评论,1,0,0,0,0,0,0,1,0
哟西经典欧逆酱,56,0,男,75791891,原评论,1,0,0,0,0,0,0,0,0
回复 @洞里的熋 :拜仁的玩物侏儒哟西,9,0,男,371634674,原评论,0,0,0,0,0,0,0,2,0
懂？[doge],470,22,男,83963262,原评论,0,0,0,0,0,0,0,0,0
不愧是6公主[脱单doge],47,0,保密,500756443,原评论,1,0,0,0,0,0,0,0,0
"回复 @种花家的ZTZ : [滑稽]“我们虽然穷，但是我们不去偷也不去抢，不属于我们的东西我们不会拿。”
周星驰执导并主演的电影《长江7号》，今日18:30#电影频道#即将播出 电影频道的微博视频  ",44,0,保密,40440839,原评论,0,1,0,0,0,1,0,6,3
"回复 @江本行界 :六公主官微原话: “我们虽然穷，但是我们不去偷也不去抢，不属于我们的东西我们不会拿。”
周星驰执导并主演的电影《长江7号》，今日18:30#电影频道#即将播出 电影频道的微博视频 
也可能是暗示哟西偷奖",43,0,男,1660255579,原评论,0,0,0,0,0,0,0,5,3
"一次败完所有路人缘
C罗看了差点笑出来[doge]",169,1,男,456803242,原评论,0,0,0,0,0,0,0,0,0
真就那个回旋镖,1,0,男,456803242,原评论,0,0,0,0,0,0,0,0,0
什么呦西呦西，这是我们医学史上的一个奇迹，很明显我们忽视了抗日战争中还有一位大佐叫里奥哟西，梅子梅孙中的山本梅西致敬祖先好吧🤓🤓,3469,14,保密,2026509272,原评论,1,0,0,0,0,1,1,2,1
大佐说的对,23,0,保密,517657325,原评论,0,0,0,0,0,0,0,0,0
回复 @谢里夫v :狂魔哥是我老乡,22,0,保密,2026509272,原评论,0,0,0,0,0,0,0,2,0
只能说鲁迅去日本学医是有原因的[吃瓜],8,0,保密,12923778,原评论,0,0,0,0,0,0,0,0,0
如果里奥哟西大佐在1年内坠机，它和劳大将成传说[抠鼻][抠鼻][抠鼻],315,13,保密,217897544,原评论,0,0,0,0,0,0,0,0,0
梅西是喜欢中国还是日本那是他自己的自由，别人无权干涉。但做为球星，最基本的就是尊重球迷，中国和日本的球迷应该同等对待，但是他对待中国和日本的粉丝明显就是两种态度,96,5,男,1532095772,原评论,2,0,0,0,0,1,0,4,2
他个人喜好另当别论，问题是他收钱了还摆着个臭脸，既然收了钱了不管怎么样装笑都得演好了，这都能称作违约了[微笑],33,0,男,87821494,原评论,1,1,0,0,0,0,0,0,3
别说国内了，外网也开涮了，他今天这么对待香港球迷，明天没准就会有下一个无辜粉丝群体,13,0,男,212602266,原评论,0,0,1,0,0,0,0,0,0
还有这种事，完全颠覆我一个基本不看球的对梅西的印象,230,14,保密,3537124204742902,原评论,0,0,0,0,0,1,0,0,1
梅西粉丝的恐怖之处就在于他们能让圈外人以为梅西是圣人。,28,0,男,472348992,原评论,1,0,0,0,1,0,0,1,1
真不看球的人比如说我，不看了都，对他就没有印象，只知道是足球明星,21,0,男,4439775,原评论,0,0,0,0,0,0,0,1,1
回复 @积极向上乐观阳光 :别的不说，科比对中国粉丝的态度比梅西好多了,10,0,保密,488465688,原评论,0,2,0,0,0,0,0,3,0
"以前：不粉就是黑[doge]
现在：不黑就是粉[藏狐]",1777,20,保密,19453080,原评论,0,0,0,0,0,0,0,0,0
难道不是？反正我朋友圈发了，平时那几个球迷没一个敢评论的，也不敢发朋友圈表立场,184,0,男,11966094,原评论,0,0,0,0,0,1,0,0,1
以前被骂阿伟罗，现在被骂梅结晶[doge],57,0,男,310126456,原评论,1,0,0,0,0,0,0,0,0
在这事上确实是不黑就是粉,48,0,男,36263793,原评论,1,0,0,0,0,0,0,1,0
是的，我自首了，其实那天我和梅西打复活赛把梅西肘伤了，所以没上场，请大家不要责怪他了,19,1,保密,396538989,原评论,1,0,0,0,0,1,0,0,2
你做的好啊,0,0,男,456277523,原评论,0,0,0,0,0,0,0,0,0
牺牲一个梅西掩盖日本731的罪恶热度，日美算盘打的挺响啊，国外的网友说外网里面本来关于731部队的事热度一直很高，经常有人讨论。但出这事后外网都在讨论梅西的事了，反而731部队的事基本没人关注了。,8,0,保密,357655317,原评论,1,0,0,0,0,1,0,1,1
应该就是专门不给中国人面子，究其根本是阿根廷现任政府无底线亲美政策的外溢，他有可能是想从政了。,19,2,男,27896265,原评论,1,0,0,0,0,0,0,1,0
回复 @寞汁 :不清楚，之前加泰罗尼亚闹独立，梅西从没站过,0,0,保密,88051782,原评论,0,0,0,0,0,0,0,4,0
梅西不一定喜欢日本，但他做出这种事一定是很讨厌中国,15,1,男,65416350,原评论,3,0,0,0,0,1,0,1,1
"确实，现在中国在国际上的风评也已经是差不多到了谷底的水平了,这之前因为还可以在你这赚到钱，所以说就好声好气一点。现在经济下行后都不正眼看你了",1,0,男,360603067,原评论,1,0,0,0,0,0,0,1,1
估计梅西在日本和女优球迷玩舒服了吧,6,0,男,446278761,原评论,0,1,0,0,0,0,0,1,0
和牛郎玩几下就病好了，医学奇迹啊,13,1,保密,161616,原评论,0,0,0,0,0,0,1,1,0
孩子们我才是球王,1761,118,保密,413010476,原评论,0,0,0,0,0,0,0,0,0
孩子们，我需要有人来陪我,3,1,保密,2122588122,原评论,0,0,0,0,0,0,0,0,0
[支持],0,0,保密,3546620398406624,原评论,1,0,0,0,0,0,0,0,0
梅西的粉丝就像刚进菜鸟驿站的快递，大件货和小件货都没有码[嘘声],5,0,保密,232663554,原评论,0,0,0,0,0,0,0,0,2
"完全是人品问题，实在没得洗。
他要是不喜欢香港、不喜欢中国，我们也能接受，毕竟谁都有权利喜欢或者不喜欢。不喜欢可以不来，或者可以事先说明上不了场。
然而人都来圈钱了，梅西上场也写进合同里了，后来莫名其妙不上场。更可恶的是，赛后没参加合影也没如约进行队长发言，敢情梅西的伤病是腿断了无法站立？还是哑巴了不能说话？
另外，事后他也没有做任何道歉以及赔偿。给出的解释是伤病，结果去日本上场了，自己打自己的脸。
整件事中，梅西简直没有任何开脱的余地。我曾为阿根廷夺冠热泪盈眶，现在我感觉自己就是个小丑。",70,2,男,331823212,原评论,7,1,2,0,0,4,0,11,9
前天在某整活梅西視頻有觀眾說：追星這行為本身就是把自己變成狗。我和許多人評為金句。,10,0,保密,130063,原评论,0,0,0,0,0,0,0,0,0
回复 @彼夜 :的确，靠着荧幕上得所谓人设就把某个人奉为神明就很滑稽，人性都是复杂多变的。,3,0,男,331823212,原评论,0,0,0,0,0,1,0,4,1
孩子们，赚钱不寒蝉，别骂了[脱单doge],175,11,男,501803281,原评论,0,1,0,0,0,0,0,1,0
孩子们，我也赞同,8,0,保密,1527380332,原评论,0,0,0,0,0,0,0,1,0
我们寒蝉鸣泣之时怎么你了[生气],7,0,男,1755253027,原评论,0,0,0,0,0,1,0,0,1
传球,31,2,保密,629416566,原评论,0,0,0,0,0,0,0,0,0
请不要这样黑我家梅西。另外我想问一下狗狗可以喝劲凉冰红茶吗,0,0,男,1801118646,原评论,0,0,0,0,0,0,0,0,1
"要我说，不如我
🖕🏻
   ╰  😋 ╮
     ╭┴╮",1280,46,男,500977493,原评论,1,0,0,0,0,0,0,11,1
牢大这四年确实没什么黑料啊[doge],170,0,男,1383447159,原评论,1,0,0,0,0,0,0,1,0
这次牢大说的对[doge],55,0,保密,1216624963,原评论,0,0,0,0,0,0,0,0,0
回复 @西北行道树 :牢大至少没亏待过粉丝，中国行也没整花活,52,0,保密,454053085,原评论,0,0,0,0,0,1,0,2,0
玛德，亏我还冒着被退学的风险藏手机就为了看你的卡塔尔世界杯，结果你给我整这出[微笑],554,18,男,515236320,原评论,0,1,0,0,0,0,0,0,1
把鞋穿上[生气],39,0,保密,285961,原评论,0,0,0,0,0,1,0,0,1
回复 @萌新丶梦魂 :真的 我舍友有个特别喜欢梅西的，班赛上还穿梅西球服，把梅西海报挂在课室，现在心疼他[笑哭][笑哭][笑哭][笑哭][笑哭],12,0,男,650449634,原评论,1,0,1,0,0,0,0,5,1
回复 @萌新丶梦魂 :当时和几个哥们一起用教室的一体机看直播被老师发现了每人800字检讨[喜极而泣],5,0,男,515236320,原评论,0,0,0,0,0,0,0,2,0
"汉语释义：“倭” wō          
 1.古时对日本的称呼                       
 2.身材矮小的人
常见词汇“倭儒”[OK]",13,0,男,1528073383,原评论,0,0,0,0,0,0,0,36,0
预言一波哟西和牢大一样的结局[吃瓜],199,9,男,12895260,原评论,0,0,0,0,0,0,0,0,0
个屁，他配吗。至少牢大们对不起他的球迷。不像某个日本好人,38,0,女,392606391,原评论,1,0,1,0,0,0,0,0,2
牢大别肘，牢梅想你了[doge][doge][doge],29,0,保密,261893073,原评论,0,0,0,0,0,0,0,0,0
怪不得呦西喜欢日本 原来是日本两胜德国[嗑瓜子] 呦西认日本叠好骑在德国头上 毕竟自己带的阿根廷从来没赢过德国 日本一年内两擒德国,44,0,保密,6273898,原评论,1,0,0,0,0,0,1,5,0
笑死，現在爆出來是主辦方問題了，球队要3000萬主辦方只出100萬港幣，还要人家全明星出賽[doge],9,4,保密,386150663,原评论,0,0,0,0,0,0,0,0,0
回复 @清醒一整天啊 :方➗看多了是吧,1,0,男,294378030,原评论,0,0,0,0,0,0,0,2,0
回复 @禁止建模 : 都不会下梯子吗？都2024年了不会梯子还没普及吧,1,0,男,55971855,原评论,0,0,0,0,0,0,0,3,3
有没有新闻链接,0,0,保密,3493274580945351,原评论,0,0,0,0,0,0,0,0,0
梅西事件成功地掩盖了 731的热度，原本731在外网的的讨论热度非常高，可如今外网都在谈梅西事件，外媒也都在助力用梅西事件盖住 731的热度，梅西及其团队，在配合美日的舆论攻势！,18,2,保密,1478138696,原评论,1,1,1,0,0,0,0,3,0
梅老八全力备战与日本的比赛，无力上场香港球赛，双手插兜只为保持手球手感，绕过特首，不与特首握手只是因天气寒冷，手凉怕冰到特首，感人至深，情深之切，令人泪目,459,2,保密,230430197,原评论,0,0,0,0,0,0,0,2,2
完了，你都说了哟西说啥[大哭],21,0,保密,66863108,原评论,0,0,0,0,0,0,0,0,1
中国家队请了日本教练,3,0,保密,4415063,原评论,0,0,0,0,0,0,0,0,0
孩子们，我要不要使用肘击,4,0,保密,307743937,原评论,0,0,0,0,0,0,0,0,1
看到你们直接就喊梅西，我心里咯噔一下，你们，是怎么想的呢？梅西也是你们能直呼其名的？他是纯血日本人、双标足球运动员、昭和歌手、银座调酒师、日本版画画师、皮匠、银匠、三味线艺人、黄金左脸、老背包客、投资顾问、日本骑士、神道教弟子，是姆们心里最柔软的地方，这名字太重，你们承担不了在这名字后面付出的一切，请您尊称他一声，里奥哟西,58,5,保密,493479950,原评论,3,0,0,0,0,1,0,2,1
国际上外国人喜欢日本多于中国其实可以理解，但这又不是你个人旅游，是生意，有合同，你到场装一装样子都不肯？,9,0,男,179769161,原评论,3,0,0,0,0,2,0,2,2
"＃梅西合同＃＃梅西pdf# 
梅西事件
成功地掩盖了731的热度，
原本
731在外网的的讨论热度非常高，
可如今，
外网都在谈梅西事件，
外媒也都在助力
用梅西事件盖住731的热度，
梅西及其团队，
在配合美日的舆论攻势，",12,1,保密,290064516,原评论,1,1,1,0,0,0,0,2,0
对这两个话题，油管讨论度都不高,0,0,保密,1535322,原评论,0,0,0,0,0,0,0,0,0
不要让娱乐明星压过731部队遗址的热度，这才是它们真正害怕被传播的！！！,4,0,保密,17095973,原评论,1,1,0,0,1,0,0,2,2
牢大可比呦西好太多了至少对中国球迷不错[吃瓜],9,1,保密,1490574919,原评论,1,0,0,0,0,0,0,0,0
这一点支持牢大[脱单doge],0,0,男,291150562,原评论,1,0,0,0,0,0,0,0,0
孩子们，那不是我！V我50，真正的我将归来！,192,2,男,399473066,原评论,1,0,0,0,0,1,0,1,1
[脱单doge],2,0,保密,3494375466207403,原评论,0,0,0,0,0,0,0,0,0
我感觉我们上当了，这次梅西事件直接把我们对731的讨论热度压下来了(转),6,0,保密,3546577379527203,原评论,0,0,0,0,0,0,0,0,1
"可不可以理解为
梅西帮助日本压外网的731罪行的热度
我们都被蒙在鼓里了",4,1,男,3461564518631541,原评论,2,0,0,0,0,2,0,2,1
"之前外网上日本731事件热度很高的
梅西事件后就没热度了",0,0,男,3461564518631541,原评论,0,0,0,0,0,0,0,0,0
最难绷的一集,307,6,保密,435754700,原评论,0,0,0,0,0,0,0,0,0
最罕见的一集,40,0,男,437957417,原评论,0,0,0,0,0,0,1,1,0
强强联合,31,0,保密,1132133825,原评论,0,0,0,0,0,0,0,0,0
这是东雪莲吗,2,0,男,73754332,原评论,0,0,0,0,0,0,0,0,0
我这有呦西的高玩，谁要[doge],618,9,男,3461566521412426,原评论,0,0,0,0,0,0,0,0,0
不要，怕我家狗吃坏肚子[doge],40,0,男,13548494,原评论,0,0,0,0,0,0,0,0,1
什么🐶篮子,24,0,男,37533878,原评论,0,0,0,0,0,0,0,0,0
真的是高高又玩玩呀,16,0,保密,157414028,原评论,0,0,0,0,0,0,0,0,0
大陆游客只能在香港待一周，日本人可以在香港待30天，这明显是梅西在帮我们做无声的抗议,5,0,保密,675838333,原评论,0,0,0,1,0,0,0,1,1
回旋镖了,4,0,男,1584711375,原评论,0,0,0,0,0,0,0,0,0
孩子们，马岛是英国的，我现在是美国人了,10,1,保密,286227841,原评论,0,0,0,0,0,0,0,0,0
阿根廷在国家都快崩盘了，他屌他妈呢，奶奶的，老子八年粉了个什么玩意儿啊？,18,1,保密,3493287662979920,原评论,0,0,0,0,0,0,0,0,1
好骂[支持],0,0,男,1300353066,原评论,1,0,0,0,0,0,0,0,0
问题是，如果你在中国没诚意，到日本也没什么诚意，大家都不会说什么；但是你在中国又是生病又是腿疼，一到日本就生龙活虎又是发布会又是各种各种表现，我只好叫你一声“大佐”了[doge],12,0,保密,415243932,原评论,3,0,1,0,0,0,0,0,3
2023年了，冰红茶的口碑还在上升,91,5,保密,1548979189,原评论,1,0,0,0,0,0,0,0,0
但是冰红茶要涨了0.5元[大哭][大哭][大哭],15,0,保密,677481760,原评论,0,0,0,0,0,0,0,0,3
回复 @熏香樱花刀 :买哇哈哈的，反正味道都差不多,8,0,女,165773104,原评论,0,1,0,0,0,0,0,3,0
回复 @熏香樱花刀 :涨的是代言费,1,0,男,1801118646,原评论,0,0,0,0,0,0,0,2,0
你们都错了，其实梅西是历史没学好，他以为香港还属于英国，而他不喜欢英国，所以才有那个表现，而他认为日本是属于中国的，他热爱中国，所以在日本很开心[doge],5,2,男,1034938690,原评论,4,1,0,0,0,0,0,4,0
天才,1,0,保密,652352886,原评论,1,0,0,0,0,0,0,1,0
自欺欺人差不多得了,0,0,保密,3546602734095110,原评论,0,0,0,0,0,1,0,0,0
"评论区的真是要笑死我了，说什么梅西塌房了，你有真正了解过梅西吗？
知道梅西一生拿过多少成就吗，拿过多少冠军
你们不要把一个人的成就和他的人品相比，因为两者没有可比性，成就固然重要，但人品更重要
对此我想说
哟西只是想回他的故乡打球了，他有什么错",1884,55,女,536162404,原评论,8,0,0,0,0,0,0,9,2
大刀差点没收回,35,0,女,71605991,原评论,0,0,0,0,0,0,0,0,0
你他妈，哎～～…自己去换个鬼子的衣服躺下吧[doge][doge][doge],24,0,保密,479151372,原评论,0,0,0,0,0,1,0,0,1
刀没收住，披上敌军的衣服埋了吧,11,0,女,471590986,原评论,0,0,0,0,0,0,0,0,2
@王者荣耀  赶紧删除哟西皮肤 返还点券[吃瓜],13,0,保密,355115748,原评论,1,0,0,0,0,0,0,4,1
C罗公关请的梅西,8,0,保密,215404065,原评论,0,0,0,0,0,0,0,0,0
梅西你不要失望，就算他们再怎么黑你，我也会和他们一起黑你的[脱单doge],4,0,男,675168609,原评论,0,0,1,0,0,0,0,0,2
c罗球迷终于熬过低谷期,99,4,男,9333755,原评论,0,0,0,0,0,0,0,0,0
牺牲一个梅西掩盖日本731的罪恶热度，日美算盘打的挺响啊，国外的网友说外网里面本来关于731部队，黑太阳731的事热度一直很高，经常有人讨论。但出这事后外网都在讨论梅西的事了，反而731部队的事基本没人关注了[大哭],4,0,保密,395218136,原评论,1,0,0,0,0,1,0,1,2
我不许你们说梅西……的时候不带我,3,1,保密,1304263161,原评论,0,0,0,0,0,0,0,0,1
谁问你了？,0,0,男,1976900805,原评论,0,0,0,0,0,0,0,0,0
孩子们，不要想我，我正在日本进行731实验,3,1,保密,1499920258,原评论,0,0,0,0,0,0,0,1,1
我有意见,0,0,保密,372696048,原评论,0,0,0,0,0,0,0,0,0
这哥们最好别坐飞机，我怕他入牢家军,4,0,保密,3493138175887943,原评论,1,0,0,0,0,0,0,1,0
梅西只是不想和中国一起骗钱，中国人就骂他，我寻思着合同上也没有说梅西一定要上场啊，而且梅西也不是什么慈善家，日本钱给到位了他去日本踢有什么问题吗（本人不是梅西粉）,6,3,男,1003050208,原评论,1,0,0,0,0,2,0,0,4
"哈哈，港府是不是退款一半？你迈阿密贝克汉姆赚多少？
首先不是合同的问题，主要是你来了不给球迷面子，丢球迷脸，这不是蠢蠢的双标？",1,0,保密,203435355,原评论,0,1,0,0,0,3,0,1,3
回复 @高健的命鬼 :智齿,0,0,男,1003050208,原评论,0,0,0,0,0,0,0,2,0
耀西！,2,0,男,8939227,原评论,0,0,0,0,0,0,0,0,0
悔西有错，但某手的AI和平台本身一样太有攻击性了,3,0,保密,661756982,原评论,0,0,0,0,0,0,0,0,1
哟西,2,0,男,452608494,原评论,0,0,0,0,0,0,0,0,0
孩子们 东京湾上潮信来 今日方知我是我,11,2,保密,125856862,原评论,0,0,0,0,0,0,0,2,0
"原来是这样啊[哦呼]
怪不得在群里看到梅西的弔图[脱单doge]",13,0,保密,1517771449,原评论,0,0,0,0,0,0,1,0,0
孩子们@真实球迷汇 @足球光影 @足球光影 @球迷阿獠 @猫眼看足球  @宇聊球 @超哥大话体育 @体育琦谈 @足坛梅友记 注销账号后自裁吧,12,4,保密,513069189,原评论,1,0,0,0,0,1,0,11,1
我不太懂足球，但是感觉中国的足球⚽可能确实很难让别人正眼去看吧,5,4,男,348911540,原评论,1,0,0,0,0,0,0,1,0
哟西🤡,2,0,保密,25840198,原评论,0,0,0,0,0,0,0,0,0
这不是足球能力的问题，这是态度，人品问题。这相当于商业活动，中国的足球再怎么烂，也不能用这种态度对待商业活动吧？并且还违反了商业条约，道歉还毫无态度。在日本就热情，在香港就这个样子该不该骂？,1,0,保密,244513649,原评论,1,0,1,0,0,2,0,3,6
但是香港方面是花了大价钱让他上场的，时间不小于45分钟。这些都写在条款里了，只是没想到他能称病不上场，然后三天后又在日本上场踢球？这算什么，好比你花钱请人在你几千几万人婚礼现场演唱45分钟，但是当天歌手却说嗓子发炎了唱不了，在台下面无表情的坐着，婚礼结束后把合同规定的钱全拿走了。并且三天后在你死对头的婚礼上大力献唱还和台下观众热情互动。你会怎么想？这是喜不喜欢的问题吗？这是没有履行自己应尽的责任！,1,0,保密,487578150,原评论,1,1,0,0,0,1,0,2,5
"中国:没喜
日本:有喜",3,0,男,37520212,原评论,0,0,0,0,0,0,0,0,0
"老婆：梅西是哪里人
我：梅西是日本人",5,0,保密,158113556,原评论,0,0,0,0,0,0,0,0,0
问大家一个事，就是听说梅西这个事儿，是故意宣传出来，好掩盖那个大学生的那个事儿，就那个好几个大学生一起儿堵上前途的那个事儿，话说你们还记得吗？【不知道配啥表情包】,3,0,保密,1309568160,原评论,1,0,0,0,0,0,0,1,1
借个楼，都看一下，求你们顶上去，抱歉扫了大家的兴，你们想怎么骂咋骂吧https://b23.tv/BV1CK421C7zo https://b23.tv/BV1QC411B7Di https://b23.tv/BV1QC411B7Di,4,0,保密,3461566940842659,原评论,0,0,1,0,0,0,0,2,1
日本那场入座率不到百分之50里奥哟西如此卖命，在中国座无虚席他却嗤之以鼻，虽然日本对其他国家的包装宣传确实恐怖，梅西喜欢日本我们也管不着，但对中国球迷不管不顾是真贱，无数球迷花钱买周边，为了这次能看到梅西掏空积蓄，只换来了里奥·哟西大佐的区别对待，反正我已经路转黑了，在我心里里奥·哟西也就比牢霍和牢大好一点了,6,0,保密,1453418417,原评论,2,2,0,0,1,2,0,2,3
里奥·梅西，简称里梅，喜欢日本烧烤，在日本很火[doge],121,14,保密,573574,原评论,1,0,0,0,0,0,0,1,0
回复 @彩虹素描kke :他烧过中国,10,0,男,84976546,原评论,0,1,0,0,0,0,0,2,0
换一个，李梅同样喜欢中国烧烤,10,0,保密,3546572990187794,原评论,1,0,0,0,0,0,0,1,0
李梅啥烧烤都喜欢。他就是个恶魔,9,0,保密,91728897,原评论,1,0,0,0,0,1,0,1,1
看看，任何事情只要沾上了一点日本相关的，就会被恶臭成这样,3,0,保密,3493121082002147,原评论,0,0,0,0,0,1,0,0,1
牢大虽然有过错但最起码敬业，对粉丝也好各种合影签名从来不缺甚至捐款援华力压哟西一头。呦西大佐咋能跟牢大相提并论啊[藏狐],24,0,保密,373131905,原评论,0,0,0,0,0,2,0,0,1
别关注梅西了，还是关注关注消防栓吧。,4,0,保密,32326849,原评论,0,0,0,0,0,0,0,0,0
"迈阿密国际和港府到底签了什么合同？
有没有让梅西上场的条款？",9,0,保密,348661744,原评论,0,0,0,0,0,0,0,0,0
我们足球也要有自己的牢大[小黄豆加减法_cool],11,1,男,453918463,原评论,1,0,0,0,0,0,0,0,0
孩子们，我没有这么高，我才一米六七。,149,6,保密,1333224025,原评论,0,0,0,0,0,0,0,0,1
八嘎！一米六八！,20,0,保密,521374965,原评论,0,0,0,0,0,0,0,0,0
没激素还长不了这么高,16,0,男,349804559,原评论,0,0,0,0,0,1,0,0,1
反转了，里奥哟西和日本矮子站在一起才能显现出他的“高大”,13,0,保密,3493263682045954,原评论,2,0,0,0,0,1,0,1,0
所以说我从来不追星，原来读书时候一帮子人在讨论nba和足球，看他们那个激动的样子，我就想不就是比赛嘛，有必要这么激动嘛，还有游戏，可能是我这个人太无聊了，现在心思都在工作和小孩身上了，一天回来最大的休息就是刷一刷视频了[小电视_发愁],3,8,男,2199481,原评论,1,1,0,0,0,2,1,2,4
回复 @我有抑郁症别骂我Oo :主要是主人家花钱请的,0,0,男,2199481,原评论,0,0,0,0,0,0,0,2,0
别人来你家做客各种甩脸色，还说你家不如你仇人的家舒服😆,0,0,保密,25840198,原评论,1,1,0,0,0,1,0,1,1
回复 @屑小将 :人家说我是刷存在感，真是冤死了[tv_鼓掌],0,0,男,2199481,原评论,1,0,0,0,0,1,0,3,0
"有没有人科普下？
怎么突然需要用梅西事件来压731的热度。
是最近关于731的什么事情又发酵了吗？",3,1,男,379833124,原评论,0,0,0,0,0,0,0,0,1
